!PCI_,0x50380,,XPCI_,0x70380,
ReadID,0x0
ReadHeader,0x1
ReturnNumber,0x2
EnumerateFunctions,0x3
IORead,0x4
IOWrite,0x5
MemoryRead,0x6
MemoryWrite,0x7
ConfigurationRead,0x8
ConfigurationWrite,0x9
HardwareAddress,0xA
ReadInfo,0xB
SpecialCycle,0xC
FindByLocation,0xD
FindByID,0xE
FindByClass,0xF
RAMAlloc,0x10
RAMFree,0x11
LogicalAddress,0x12
