!PDumper_,0x41B00,,XPDumper_,0x61B00,
Info,0x0
Claim,0x1
Free,0x2
Find,0x3
StartJob,0x4
TidyJob,0x5
SetColour,0x6
PrepareStrip,0x7
LookupError,0x8
CopyFilename,0x9
