!FileCore_,0x40540,,XFileCore_,0x60540,
DiscOp,0x0
Create,0x1
Drives,0x2
FreeSpace,0x3
FloppyStructure,0x4
DescribeDisc,0x5
DiscardReadSectorsCache,0x6
DiscFormat,0x7
LayoutStructure,0x8
MiscOp,0x9
SectorOp,0xA
SectorDiscOp,0xA
FreeSpace64,0xB
DiscOp64,0xC
Features,0xD
