!SCSI_,0x403C0,,XSCSI_,0x603C0,
Version,0x0
Initialise,0x1
Control,0x2
Op,0x3
Status,0x4
ReadControlLines,0x5
EEProm,0x6
Reserve,0x7
List,0x8
TargetControl,0x9
Deregister,0x3E
Register,0x3F

!SCSI_,0x41080,,XSCSI_,0x61080
LogVersion,0x0
LogList,0x1
