!JPEG_,0x49980,,XJPEG_,0x69980,
Info,0x0
FileInfo,0x1
PlotScaled,0x2
PlotFileScaled,0x3
PlotTransformed,0x4
PlotFileTransformed,0x5
PDriverIntercept,0x6
