!ADFS_,0x40240,,XADFS_,0x60240,
DiscOp,0x0
HDC,0x1
Drives,0x2
FreeSpace,0x3
Retries,0x4
DescribeDisc,0x5
VetFormat,0x6
FlpProcessDCB,0x7
ControllerType,0x8
PowerControl,0x9
SetIDEController,0xA
IDEUserOp,0xB
MiscOp,0xC
SectorDiscOp,0xD
ECCSAndRetries,0x10
LockIDE,0x11
FreeSpace64,0x12
IDEDeviceInfo,0x13
DiscOp64,0x14
ATAPIOp,0x15
